Date,Open,High,Low,Close,Adj Close,Volume
2023-07-25,0.128361,0.128761,0.128640,0.129158,0.129158,244270
2023-07-26,0.129168,0.129310,0.127706,0.128013,0.128013,197298
2023-07-27,0.128018,0.127623,0.127684,0.127645,0.127645,223057
2023-07-28,0.127644,0.129301,0.127734,0.129252,0.129252,232808
2023-07-29,0.129255,0.129415,0.129150,0.129085,0.129085,207061
2023-07-30,0.129082,0.128978,0.128993,0.128970,0.128970,168805
2023-07-31,0.128973,0.129777,0.129966,0.130267,0.130267,228593
2023-08-01,0.130264,0.130265,0.129962,0.129901,0.129901,588606
2023-08-02,0.129905,0.132111,0.130713,0.132111,0.132111,443373
2023-08-03,0.132103,0.132706,0.129628,0.130782,0.130782,353612
2023-08-04,0.130790,0.130884,0.130369,0.131377,0.131377,218283
2023-08-05,0.131366,0.131695,0.132131,0.132113,0.132113,202634
2023-08-06,0.132121,0.132493,0.131557,0.132414,0.132414,163916
2023-08-07,0.132415,0.133763,0.132823,0.132877,0.132877,228598
2023-08-08,0.132873,0.132953,0.132838,0.132352,0.132352,232988
2023-08-09,0.132349,0.132633,0.132277,0.132101,0.132101,272116
2023-08-10,0.132093,0.132106,0.131251,0.131525,0.131525,215481
2023-08-11,0.131521,0.131457,0.130168,0.130360,0.130360,197685
2023-08-12,0.130359,0.130690,0.129087,0.129770,0.129770,209432
2023-08-13,0.129768,0.130137,0.129636,0.129944,0.129944,153869
2023-08-14,0.129942,0.130083,0.130589,0.130501,0.130501,161244
2023-08-15,0.130505,0.130586,0.130555,0.130324,0.130324,206683
2023-08-16,0.130330,0.130265,0.129430,0.129543,0.129543,264292
2023-08-17,0.129548,0.129619,0.128210,0.128419,0.128419,255638
2023-08-18,0.128421,0.128401,0.133748,0.129923,0.129923,467465
2023-08-19,0.129941,0.129983,0.127884,0.130122,0.130122,341423
2023-08-20,0.130141,0.129454,0.129538,0.129972,0.129972,285859
2023-08-21,0.129982,0.128747,0.129515,0.128566,0.128566,176701
2023-08-22,0.128563,0.128732,0.125631,0.126337,0.126337,349140
2023-08-23,0.126302,0.129658,0.125062,0.128998,0.128998,390255
2023-08-24,0.128988,0.128779,0.128988,0.128867,0.128867,337151
2023-08-25,0.128894,0.131750,0.130954,0.131693,0.131693,237685
2023-08-26,0.131714,0.132035,0.129933,0.132088,0.132088,256449
2023-08-27,0.132088,0.132410,0.131377,0.131427,0.131427,166278
2023-08-28,0.131430,0.132370,0.131135,0.131744,0.131744,196333
2023-08-29,0.131744,0.132375,0.131656,0.132374,0.132374,201411
2023-08-30,0.132376,0.134538,0.132323,0.131159,0.131159,343010
2023-08-31,0.131163,0.131246,0.130686,0.131233,0.131233,210952
2023-09-01,0.131244,0.131196,0.131729,0.131624,0.131624,260465
